"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"码尚教育B2C接口自动化测试","流程模块","流程接口名称2","0","0","1","0","0"
"码尚教育B2C接口自动化测试","外卖模块","查询任务列表接口","0","0","1","0","0"
"码尚教育B2C接口自动化测试","数据驱动模块","数据驱动接口名称","0","0","3","0","0"
"码尚教育B2C接口自动化测试","模块","登陆接口","0","0","3","0","0"
"码尚教育B2C接口自动化测试","模块","商品详情接口","0","0","1","0","0"
"码尚教育B2C接口自动化测试","外卖模块","登陆接口","0","0","1","0","0"
"码尚教育B2C接口自动化测试","模块","首页接口","0","0","1","0","0"
"码尚教育B2C接口自动化测试","加密模块","RSA加密接口","0","0","1","0","0"
"码尚教育B2C接口自动化测试","公众号模块","编辑标签接口","0","0","1","0","0"
"码尚教育B2C接口自动化测试","模块","phpwind首页接口","0","0","1","0","0"
"码尚教育B2C接口自动化测试","加密模块","Base64加密接口","0","0","1","0","0"
"码尚教育B2C接口自动化测试","公众号模块","查询标签接口","0","0","1","0","0"
"码尚教育B2C接口自动化测试","文件上传模块","文件上传接口","0","0","1","0","0"
"码尚教育B2C接口自动化测试","加密模块","MD5加密接口","0","0","1","0","0"
