"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 28 21:47:53 CST 2023","Fri Apr 28 21:47:53 CST 2023","106","testcases","test_all_case","TestAllCase","","","流程用例标题2",""
"passed","Fri Apr 28 21:47:57 CST 2023","Fri Apr 28 21:47:58 CST 2023","1046","testcases","test_all_case","TestAllCase","","","用例名称",""
"passed","Fri Apr 28 21:47:53 CST 2023","Fri Apr 28 21:47:53 CST 2023","37","testcases","test_all_case","TestAllCase","","","用户名有误",""
"passed","Fri Apr 28 21:47:52 CST 2023","Fri Apr 28 21:47:53 CST 2023","491","testcases","test_all_case","TestAllCase","","","验证正常返回登陆接口数据",""
"passed","Fri Apr 28 21:47:54 CST 2023","Fri Apr 28 21:47:54 CST 2023","34","testcases","test_all_case","TestAllCase","","","验证正常返回登陆接口数据",""
"passed","Fri Apr 28 21:47:53 CST 2023","Fri Apr 28 21:47:54 CST 2023","47","testcases","test_all_case","TestAllCase","","","验证正常返回商品详情接口数据",""
"passed","Fri Apr 28 21:47:55 CST 2023","Fri Apr 28 21:47:57 CST 2023","2476","testcases","test_all_case","TestAllCase","","","用例名称",""
"passed","Fri Apr 28 21:47:54 CST 2023","Fri Apr 28 21:47:54 CST 2023","86","testcases","test_all_case","TestAllCase","","","验证正常返回首页数据",""
"passed","Fri Apr 28 21:47:53 CST 2023","Fri Apr 28 21:47:53 CST 2023","37","testcases","test_all_case","TestAllCase","","","密码有误",""
"passed","Fri Apr 28 21:47:53 CST 2023","Fri Apr 28 21:47:53 CST 2023","82","testcases","test_all_case","TestAllCase","","","验证正常返回RSA加密接口数据",""
"passed","Fri Apr 28 21:47:54 CST 2023","Fri Apr 28 21:47:54 CST 2023","269","testcases","test_all_case","TestAllCase","","","用例名称",""
"passed","Fri Apr 28 21:47:53 CST 2023","Fri Apr 28 21:47:53 CST 2023","99","testcases","test_all_case","TestAllCase","","","验证正常返回登陆接口数据",""
"passed","Fri Apr 28 21:47:53 CST 2023","Fri Apr 28 21:47:53 CST 2023","58","testcases","test_all_case","TestAllCase","","","验证正常返回Base64加密接口数据",""
"passed","Fri Apr 28 21:47:54 CST 2023","Fri Apr 28 21:47:54 CST 2023","247","testcases","test_all_case","TestAllCase","","","用例名称",""
"passed","Fri Apr 28 21:47:54 CST 2023","Fri Apr 28 21:47:55 CST 2023","450","testcases","test_all_case","TestAllCase","","","验证正常返回文件上传接口数据",""
"passed","Fri Apr 28 21:47:53 CST 2023","Fri Apr 28 21:47:53 CST 2023","54","testcases","test_all_case","TestAllCase","","","验证正常返回MD5加密接口数据",""
"passed","Fri Apr 28 21:47:55 CST 2023","Fri Apr 28 21:47:55 CST 2023","71","testcases","test_all_case","TestAllCase","","","验证正常返回登陆接口数据",""
"passed","Fri Apr 28 21:47:53 CST 2023","Fri Apr 28 21:47:53 CST 2023","50","testcases","test_all_case","TestAllCase","","","登陆成功",""
